sector,sex,name,total
Jewish,F,מירן,254
Jewish,M,מאיר,26720
Christian,M,עפיף,140
Druze,M,רן,112
Christian,M,שאדי,775
Muslim,M,מואנס,209
Muslim,F,נהלא,136
Christian,F,מילא,149
Jewish,M,ישעיהו,1870
Muslim,M,ליית,1197
Jewish,M,גל,12069
Jewish,F,אמה,6612
Other,F,דיאנה,719
Other,M,אליהו,108
Other,M,דוד,2057
Druze,M,זוהיר,123
Other,F,אמילי,1336
Jewish,F,לביאה,215
Jewish,F,אווה,1206
Jewish,F,נתי,112
Jewish,M,יהושע,8410
Muslim,F,מייסר,362
Jewish,M,ניק,190
Jewish,F,אלמוג,2797
Jewish,F,קורין,724
Jewish,M,אושרי,3612
Jewish,M,חזי,604
Other,F,תמר,117
Muslim,M,סנד,1615
Muslim,M,עדי,780
Jewish,M,בן-ציון,307
Christian,M,פריד,265
Jewish,M,מתתיהו,1184
Jewish,F,דוריה,383
Muslim,M,ספואן,354
Muslim,F,סוהאד,746
Christian,F,רנא,464
Muslim,F,פדה,159
Other,M,מייקל,176
Christian,M,דאוד,193
Muslim,F,נעמתי,102
Jewish,M,גדי,1181
Jewish,F,קטי,714
Jewish,F,מתן,316
Muslim,M,איסחאק,515
Jewish,F,אוליביה,261
Muslim,F,ניבין,1113
Christian,M,פאדי,1293
Jewish,M,הרן,127
Jewish,M,אלחנן,6634
Muslim,F,פדיה,218
Jewish,M,עתי,1259
Jewish,F,פרידא,317
Jewish,F,ג'וי,139
Jewish,F,מרין,102
Druze,F,עולא,206
Jewish,M,אלרואי,2927
Jewish,M,אורי,41457
Jewish,M,טירן,232
Muslim,M,שאדי,3474
Jewish,F,טויבא,610
Jewish,M,תם,590
Christian,M,ראמז,124
Muslim,M,עטיה,634
Muslim,F,מירא,1744
Muslim,F,עלאא,199
Muslim,M,סלאח,2510
Muslim,M,שאוקי,164
Muslim,F,אזל,177
Muslim,F,סאהר,342
Druze,M,באסל,337
Jewish,F,שלהבת,502
Muslim,F,ח'דיג'ה,866
Muslim,F,אסראא,3864
Jewish,M,איליה,285
Jewish,F,אדרת,231
Jewish,F,פעריל,124
Jewish,F,שגיא,108
Druze,M,סמר,384
Muslim,M,אדיב,602
Muslim,M,והיב,543
Jewish,F,הלני,329
Jewish,F,נאוה,4989
Jewish,F,נילי,3561
Muslim,F,מריאן,248
Druze,F,מייס,278
Jewish,F,זלדה,224
Jewish,M,טאי,176
Jewish,M,תבור,494
Jewish,M,שמוליק,208
Jewish,F,עומרי,196
Muslim,F,דארין,1236
Muslim,F,כיאן,209
Jewish,F,יער,104
Muslim,M,מועאז',254
Jewish,M,אליעד,1197
Christian,M,זוהיר,146
Other,F,רוני,105
Jewish,F,שביט,515
Muslim,M,פואד,2329
Druze,M,חמזה,157
Muslim,F,ויויאן,114
Muslim,M,יונס,1928
Jewish,M,בראל,588
Jewish,M,ניצן,3073
Jewish,F,קמי,127
Christian,M,סובחי,138
Druze,F,סמר,204
Muslim,F,תקוה,157
Jewish,M,ניר,15689
Jewish,F,אבלין,304
Other,F,שלי,366
Jewish,F,יוליה,264
Jewish,M,אליאל,627
Jewish,M,שחק,227
Jewish,M,לוריא,123
Jewish,F,אראל,275
Jewish,F,קאי,103
Muslim,M,גאסם,155
Jewish,M,מורי,367
Christian,M,פיראס,311
Jewish,F,ניצן,5155
Jewish,F,רחל,46301
Jewish,F,עינב,4566
Jewish,F,נאיה,724
Muslim,F,ג'ינה,101
Muslim,F,מופידה,202
Jewish,F,אלינוי,528
Jewish,M,חושן,186
Muslim,F,קמר,1350
Jewish,M,יוסי,5649
Muslim,M,וג'די,405
Jewish,M,אופרי,141
Muslim,F,גמיעה,130
Jewish,M,פיליפ,145
Jewish,M,תאיר,151
Jewish,F,פרח,659
Muslim,M,סמר,2925
Jewish,F,חופית,1287
Muslim,F,ג'ינא,434
Jewish,F,זקלין,174
Druze,F,סימה,126
Jewish,F,ג'ני,308
Jewish,M,לוטם,411
Muslim,M,רסלאן,242
Muslim,F,זהירה,112
Jewish,M,זמיר,264
Christian,M,מיכאל,218
Jewish,M,רחמים,3549
Jewish,F,קמילה,164
Jewish,F,נריה,459
Other,F,טלי,228
Jewish,F,מור,9022
Christian,F,נטלי,394
Christian,M,חביב,367
Jewish,M,נחמיה,1310
Druze,M,כרמל,101
Jewish,F,ארנה,435
Druze,F,ליא,110
Jewish,M,ארטיום,106
Jewish,F,אינס,141
Jewish,F,כנה,133
Jewish,F,ג'נט,125
Druze,M,מוחמד,591
Christian,M,כרים,161
Muslim,F,כארם,118
Muslim,F,ערובה,110
Jewish,F,מאורי,253
Jewish,F,שימרית,992
Jewish,M,ליאן,106
Druze,M,נביל,201
Muslim,F,רואן,2576
Jewish,M,נריה,5071
Druze,M,סמיר,230
Other,M,עילאי,280
Druze,M,אראם,119
Jewish,M,יונה,1575
Jewish,F,חנה,35905
Other,M,סמואל,104
Jewish,M,רגב,632
Muslim,F,נוהאד,142
Druze,F,סאלחה,136
Muslim,M,עתמאן,131
Jewish,M,רוני,5698
Jewish,F,ניקול,3046
Muslim,F,רוסל,170
Muslim,F,קינדה,173
Druze,F,אימאן,394
Jewish,M,ירדן,4083
Christian,F,נאדיה,298
Jewish,F,אדל,12393
Other,F,קרן,227
Jewish,F,הלל,7368
Other,M,אנטוני,103
Druze,F,שירז,114
Muslim,F,סג'וד,430
Muslim,F,האג'ר,320
Jewish,F,יהלי,7016
Jewish,F,פריידה,123
Muslim,F,מליחה,469
Muslim,M,זיין,2358
Jewish,F,דפני,146
Muslim,F,עואטף,351
Muslim,F,סאמייה,110
Muslim,F,פלסטין,225
Muslim,F,רובה,1473
Christian,M,ודיע,234
Jewish,F,מזל,8801
Muslim,F,שוג,111
Jewish,F,שיינדיל,143
Muslim,F,מרלין,168
Jewish,F,תומר,737
Christian,F,דימא,230
Muslim,F,תאליה,650
Jewish,F,רוני,20689
Jewish,F,מירב,12593
Muslim,F,כיפאח,237
Christian,M,ריאד,188
Muslim,F,מרח,1398
Muslim,M,מונד'ר,820
Jewish,M,אדר,1713
Muslim,F,שפאא,191
Jewish,F,קרולין,263
Druze,M,ורד,120
Christian,F,תיריז,123
Muslim,F,לוג'יין,222
Muslim,F,אילין,1066
Muslim,M,פריד,1035
Jewish,M,עמיחי,3010
Muslim,M,וסאם,2856
Jewish,M,מעיין,3935
Druze,M,אסיל,106
Jewish,M,אלישיב,1041
Muslim,F,אסיל,5052
Jewish,M,יאן,922
Jewish,F,דין,138
Jewish,F,סאני,114
Christian,F,וופא,320
Muslim,M,אדם,11749
Muslim,M,סגר,140
Muslim,F,ח'אולה,337
Muslim,M,סעיד,5095
Jewish,F,דניס,126
Jewish,F,גלית,9692
Muslim,F,רתיל,464
Druze,M,באסם,231
Muslim,F,סלמי,102
Christian,F,לונא,262
Jewish,F,רויטל,7660
Muslim,F,מלאא,110
Other,F,חנה,119
Muslim,F,נאדיה,2478
Muslim,F,דועאא,3288
Muslim,F,רביע,115
Muslim,F,בדר,139
Muslim,M,אחמד,44047
Muslim,F,נג'לה,125
Jewish,M,יונתן,23296
Muslim,F,תאלין,1556
Jewish,M,דורון,9135
Muslim,F,כפאיה,445
Muslim,M,זיידאן,716
Muslim,F,אמאני,2585
Druze,M,ג'מאל,400
Jewish,M,איתם,556
Druze,F,דיאנה,290
Christian,F,מאי,173
Jewish,M,ריף,1661
Jewish,F,מושקא,424
Jewish,F,צילה,1630
Jewish,F,תקוה,1933
Jewish,M,שלום,12701
Muslim,F,מרים,14269
Jewish,M,איתן,23641
Muslim,M,עיד,954
Druze,M,בהאא,316
Muslim,F,פרחה,217
Jewish,F,צירל,448
Jewish,M,עזרי,162
Jewish,M,יגל,2476
Druze,M,ג'ואד,414
Jewish,F,עטרה,1841
Muslim,F,רקיה,147
